album,artist name,track name,min_played
CÓMO SE SIENTE,Jhayco,CÓMO SE SIENTE - Remix,30997
Súbelo,Anuel AA,Súbelo,85653
Reik,Reik,Yo Quisiera,25664
God's Project,Aventura,Ella Y Yo - Featuring Don Omar,84480
Certified Lover Boy,Drake,Knife Talk (with 21 Savage ft. Project Pat),242965
Certified Lover Boy,Drake,Knife Talk (with 21 Savage ft. Project Pat),23654
Súbelo,Anuel AA,Súbelo,239797
Súbelo,Anuel AA,Súbelo,75229
Peligro,Reik,Tu Mirada,200000
Peligro,Reik,Tu Mirada,200000
Peligro,Reik,Tu Mirada,200000
Peligro,Reik,Tu Mirada,200000
Peligro,Reik,Tu Mirada,200000
Peligro,Reik,Tu Mirada,200000
Peligro,Reik,Tu Mirada,368754
Peligro,Reik,Tu Mirada,200000
Peligro,Reik,Tu Mirada,189717
Sob Rock,John Mayer,Carry Me Away,159133
Dancing with my phone,HYBS,Dancing with my phone,203532
"Superclean, Vol. II",The Marías,Over the Moon,182900
I Love You.,The Neighbourhood,Sweater Weather,0
"Or Nah (feat. The Weeknd, Wiz Khalifa & DJ Mustard) [Remix]",Ty Dolla $ign,"Or Nah (feat. The Weeknd, Wiz Khalifa & DJ Mustard) - Remix",47040
Reik,Reik,Yo Quisiera,626
Peligro,Reik,Tu Mirada,200000
Peligro,Reik,Tu Mirada,200000
Súbelo,Anuel AA,Súbelo,221266
CÓMO SE SIENTE,Jhayco,CÓMO SE SIENTE - Remix,1984
Brace Yourself,zenorachi,Brace Yourself,17900
Está Dañada,Ivan Cornejo,Está Dañada - Remix,2154
Tak Tiki Tak,Harry Nach,Tak Tiki Tak,40853
God's Project,Aventura,Ella Y Yo - Featuring Don Omar,134159
Me Mata,Bad Bunny,Me Mata,380970
Cuarentena,Eladio Carrion,Cuarentena,131333
Cuarentena,Eladio Carrion,Cuarentena,11868
Daddy Issues (Remix) feat. Syd,The Neighbourhood,Daddy Issues (Remix) feat. Syd,42453
everything i wanted,Billie Eilish,everything i wanted,2218
everything i wanted,Billie Eilish,everything i wanted,243223
Peligro,Reik,Tu Mirada,128043
everything i wanted,Billie Eilish,everything i wanted,204244
CÓMO SE SIENTE,Jhayco,CÓMO SE SIENTE - Remix,1109
Súbelo,Anuel AA,Súbelo,533
Súbelo,Anuel AA,Súbelo,239797
Súbelo,Anuel AA,Súbelo,152193
Toa la Vida,Nicki Nicole,Toa la Vida,218969
Toa la Vida,Nicki Nicole,Toa la Vida,92615
Súbelo,Anuel AA,Súbelo,222506
Cuarentena,Eladio Carrion,Cuarentena,101824
CÓMO SE SIENTE,Jhayco,CÓMO SE SIENTE - Remix,188546
DUMMY BOY,6ix9ine,FEFE,179404
DUMMY BOY,6ix9ine,FEFE,82969
Volví,Aventura,Volví,227242
Yonaguni,Bad Bunny,Yonaguni,2026
DÁKITI,Bad Bunny,DÁKITI,203114
YHLQMDLG,Bad Bunny,A Tu Merced,1173
EL ÚLTIMO TOUR DEL MUNDO,Bad Bunny,ANTES QUE SE ACABE,960
Vete,Bad Bunny,Vete,704
EL ÚLTIMO TOUR DEL MUNDO,Bad Bunny,HACIENDO QUE ME AMAS,874
YHLQMDLG,Bad Bunny,Si Veo a Tu Mamá,1216
EL ÚLTIMO TOUR DEL MUNDO,Bad Bunny,TE MUDASTE,107165
X 100PRE,Bad Bunny,Si Estuviésemos Juntos,169247
Reik,Reik,Yo Quisiera,2368
Peligro,Reik,Tu Mirada,200000
Peligro,Reik,Tu Mirada,200000
Peligro,Reik,Tu Mirada,200000
Peligro,Reik,Tu Mirada,200000
Peligro,Reik,Tu Mirada,200000
Peligro,Reik,Tu Mirada,81779
EL ÚLTIMO TOUR DEL MUNDO,Bad Bunny,BOOKER T,1044
YHLQMDLG,Bad Bunny,La Difícil,163084
LOYAL (feat. Drake and Bad Bunny),PARTYNEXTDOOR,LOYAL (feat. Drake and Bad Bunny) - Remix,151425
Súbelo,Anuel AA,Súbelo,230549
Cuarentena,Eladio Carrion,Cuarentena,122303
Súbelo,Anuel AA,Súbelo,447658
CÓMO SE SIENTE,Jhayco,CÓMO SE SIENTE - Remix,21461
Timelezz,Jhayco,Ley Seca,140732
Las Leyendas Nunca Mueren,Anuel AA,Dictadura,10858
Súbelo,Anuel AA,Súbelo,456853
More Life,Drake,Teenage Fever,12160
La Trenza,Mon Laferte,Mi Buen Amor,227586
Pom Poms,Jonas Brothers,Pom Poms,2487
Súbelo,Anuel AA,Súbelo,184810
Súbelo,Anuel AA,Súbelo,341
Súbelo,Anuel AA,Súbelo,201109
God's Project,Aventura,Ella Y Yo - Featuring Don Omar,194254
La Trenza,Mon Laferte,Mi Buen Amor,426085
Súbelo,Anuel AA,Súbelo,218944
La Trenza,Mon Laferte,Mi Buen Amor,426085
Pom Poms,Jonas Brothers,Pom Poms,2517
Peligro,Reik,Tu Mirada,200000
EL ÚLTIMO TOUR DEL MUNDO,Bad Bunny,BOOKER T,156430
Masked Monkey Awakening,Hello Sleepwalkers,Goya No Machiawase,192998
Troubadour,K'NAAN,Bang Bang,134271
Troubadour,K'NAAN,Bang Bang,44698
Peligro,Reik,Tu Mirada,200000
Peligro,Reik,Tu Mirada,200000
Peligro,Reik,Tu Mirada,200000
Peligro,Reik,Tu Mirada,200000
Peligro,Reik,Tu Mirada,95544
The Prelude,Pink Sweat$,At My Worst,5712
"Superclean, Vol. II",The Marías,Over the Moon,3413
Everyday Is Christmas,Sia,Snowman,1044
Nothing Happens,Wallows,Are You Bored Yet? (feat. Clairo),178000
Cariño,The Marías,Cariño,0
En Français,Pomplamoose,Les Champs-Elysées,1230
SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),Amaarae,SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),204763
La Trenza,Mon Laferte,Mi Buen Amor,227586
Pom Poms,Jonas Brothers,Pom Poms,16304
Voluma,León Larregui,Locos,952
El Tiempo Locura Todo,Jósean Log,Pruébame a Ti,1021
Hasta el Fin Del Mundo,Kevin Kaarl,Colapso,928
Todo Lo Mio,Myriam Hernandez,El Hombre Que Yo Amo,1880
RAS Portraits,Gondwana,Sentimento Original,1137
LM5 (Deluxe),Little Mix,Told You So,2066
Dua Lipa,Dua Lipa,IDGAF,1021
Nothing Was The Same,Drake,"Hold On, We're Going Home",1044
Mad at Disney,salem ilese,Mad at Disney,905
La Trenza,Mon Laferte,Flaco,2972
"Fijación Oral, Vol. 1",Shakira,Dia de Enero,173133
Parachutes,Coldplay,Yellow,266773
Fine Line,Harry Styles,Golden,77943
Parachutes,Coldplay,Sparks,227093
Parachutes,Coldplay,Yellow,10934
Parachutes,Coldplay,Sparks,227093
Parachutes,Coldplay,Yellow,6847
Súbelo,Anuel AA,Súbelo,275776
Toa la Vida,Nicki Nicole,Toa la Vida,209898
Súbelo,Anuel AA,Súbelo,70144
Certified Lover Boy,Drake,Knife Talk (with 21 Savage ft. Project Pat),28821
Cuarentena,Eladio Carrion,Cuarentena,116543
Súbelo,Anuel AA,Súbelo,3221
Me Mata,Bad Bunny,Me Mata,4757
Tak Tiki Tak,Harry Nach,Tak Tiki Tak,171263
Me Mata,Bad Bunny,Me Mata,90687
Parachutes,Coldplay,Sparks,36687
Parado no Bailão,MC L da Vinte,Parado no Bailão,1602
Parachutes,Coldplay,Yellow,185
Parado no Bailão,MC L da Vinte,Parado no Bailão,3413
Parachutes,Coldplay,Sparks,2554
Mylo Xyloto,Coldplay,Paradise,3111
Parachutes,Coldplay,Sparks,194234
Parachutes,Coldplay,Spies,1787
Parachutes,Coldplay,Sparks,227093
Parachutes,Coldplay,Yellow,4293
Parachutes,Coldplay,Sparks,227093
Parachutes,Coldplay,Yellow,36476
Parachutes,Coldplay,Sparks,227093
Parachutes,Coldplay,Yellow,122692
Parachutes,Coldplay,Sparks,227093
Parachutes,Coldplay,Yellow,16298
Parachutes,Coldplay,Sparks,227093
Parachutes,Coldplay,Yellow,197251
Parachutes,Coldplay,Sparks,227093
Parachutes,Coldplay,Yellow,10330
Parachutes,Coldplay,Trouble,278
Parachutes,Coldplay,Parachutes,22175
Parachutes,Coldplay,High Speed,2368
La Trenza,Mon Laferte,Mi Buen Amor,5994
Parachutes,Coldplay,Sparks,227093
Parachutes,Coldplay,Sparks,227093
Parachutes,Coldplay,Sparks,227093
Parachutes,Coldplay,Sparks,227093
Parachutes,Coldplay,Sparks,227093
Parachutes,Coldplay,Sparks,227093
Parachutes,Coldplay,Sparks,227093
Parachutes,Coldplay,Sparks,227093
CÓMO SE SIENTE,Jhayco,CÓMO SE SIENTE - Remix,533
Súbelo,Anuel AA,Súbelo,282416
Cuarentena,Eladio Carrion,Cuarentena,122474
Súbelo,Anuel AA,Súbelo,237440
CÓMO SE SIENTE,Jhayco,CÓMO SE SIENTE - Remix,194176
Mylo Xyloto,Coldplay,Paradise,3413
Hot Pink,Doja Cat,Streets,213500
Certified Lover Boy,Drake,Knife Talk (with 21 Savage ft. Project Pat),200818
Hot Pink,Doja Cat,Streets,682
Hot Pink,Doja Cat,Streets,240818
Hot Pink,Doja Cat,Streets,14660
Súbelo,Anuel AA,Súbelo,184405
Fiel,Los Legendarios,Fiel,212555
Súbelo,Anuel AA,Súbelo,88512
Parachutes,Coldplay,Sparks,227093
Parachutes,Coldplay,Sparks,227093
Parachutes,Coldplay,Sparks,227093
Parachutes,Coldplay,Sparks,227093
Parachutes,Coldplay,Sparks,159741
The Preacher's Wife,Whitney Houston,Joy to the World (with Georgia Mass Choir),260600
Parachutes,Coldplay,Sparks,227093
Parachutes,Coldplay,Sparks,227093
Parachutes,Coldplay,Sparks,217394
Parachutes,Coldplay,Yellow,3080
Parachutes,Coldplay,Sparks,1840
Parachutes,Coldplay,Sparks,225273
Parachutes,Coldplay,Yellow,2887
Parachutes,Coldplay,Sparks,570
Parachutes,Coldplay,Spies,980
Parachutes,Coldplay,Sparks,227093
Parachutes,Coldplay,Yellow,266773
Parachutes,Coldplay,Trouble,188113
Parachutes,Coldplay,Sparks,127593
Parachutes,Coldplay,Sparks,227093
Parachutes,Coldplay,Yellow,266773
Parachutes,Coldplay,Trouble,215923
Parachutes,Coldplay,Sparks,227093
Parachutes,Coldplay,Yellow,147096
Parachutes,Coldplay,Sparks,227093
Parachutes,Coldplay,Yellow,21656
Parachutes,Coldplay,Sparks,227093
Parachutes,Coldplay,Yellow,266773
Parachutes,Coldplay,Trouble,94433
Parachutes,Coldplay,Sparks,227093
Parachutes,Coldplay,Yellow,14506
Parachutes,Coldplay,Sparks,227093
Parachutes,Coldplay,Yellow,67496
Parachutes,Coldplay,Sparks,227093
Troubadour,K'NAAN,Bang Bang,2073
Súbelo,Anuel AA,Súbelo,129118
Parachutes,Coldplay,Sparks,227093
Parachutes,Coldplay,Sparks,227093
Parachutes,Coldplay,Sparks,227093
Parachutes,Coldplay,Sparks,227093
Parachutes,Coldplay,Sparks,227093
Parachutes,Coldplay,Sparks,227093
Parachutes,Coldplay,Sparks,227093
Parachutes,Coldplay,Sparks,29155
Parachutes,Coldplay,Sparks,227093
Parachutes,Coldplay,Yellow,222356
Troubadour,K'NAAN,Bang Bang,186533
Reik,Reik,Yo Quisiera,217986
Peligro,Reik,Tu Mirada,151331
Parachutes,Coldplay,Sparks,227093
Parachutes,Coldplay,Sparks,227093
Parachutes,Coldplay,Sparks,227093
Parachutes,Coldplay,Sparks,227093
Parachutes,Coldplay,Sparks,112949
Sob Rock,John Mayer,Carry Me Away,152322
Sob Rock,John Mayer,Carry Me Away,159133
Dancing with my phone,HYBS,Dancing with my phone,203532
"Superclean, Vol. II",The Marías,Over the Moon,182900
I Love You.,The Neighbourhood,Sweater Weather,142102
SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),Amaarae,SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),204763
La Trenza,Mon Laferte,Mi Buen Amor,227586
Pom Poms,Jonas Brothers,Pom Poms,198053
Voluma,León Larregui,Locos,177600
El Tiempo Locura Todo,Jósean Log,Pruébame a Ti,193186
Fiel,Los Legendarios,Fiel,357956
Fiel,Los Legendarios,Fiel,195140
God's Project,Aventura,Ella Y Yo - Featuring Don Omar,719
Súbelo,Anuel AA,Súbelo,229157
YHLQMDLG,Bad Bunny,Una Vez,45859
Certified Lover Boy,Drake,Knife Talk (with 21 Savage ft. Project Pat),1277
Fiel,Los Legendarios,Fiel,12794
God's Project,Aventura,Ella Y Yo - Featuring Don Omar,4179
YHLQMDLG,Bad Bunny,Una Vez,45859
Toa la Vida,Nicki Nicole,Toa la Vida,16439
Parachutes,Coldplay,Sparks,227093
Fiel,Los Legendarios,Fiel,20329
Fiel,Los Legendarios,Fiel,261666
YHLQMDLG,Bad Bunny,Una Vez,55189
YHLQMDLG,Bad Bunny,Una Vez,124821
YHLQMDLG,Bad Bunny,Una Vez,189674
Fiel,Los Legendarios,Fiel,155349
Hot Pink,Doja Cat,Streets,226986
Hot Pink,Doja Cat,Streets,16822
Hot Pink,Doja Cat,Streets,456504
Fiel,Los Legendarios,Fiel,197681
Fiel,Los Legendarios,Fiel,325
Fiel,Los Legendarios,Fiel,174776
Súbelo,Anuel AA,Súbelo,208143
YHLQMDLG,Bad Bunny,Bichiyal,218012
YHLQMDLG,Bad Bunny,Soliá,5479
YHLQMDLG,Bad Bunny,Bichiyal,7453
YHLQMDLG,Bad Bunny,Bichiyal,41848
Hasta el Fin Del Mundo,Kevin Kaarl,Colapso,51169
Kiss Me More (feat. SZA),Doja Cat,Kiss Me More (feat. SZA),178189
Now We Are Free,Movie Sounds Unlimited,"Feel Good Time - From ""Charlie's Angels: Full Throttle""",3831
Parachutes,Coldplay,Sparks,227093
Troubadour,K'NAAN,Bang Bang,364662
Reik,Reik,Yo Quisiera,217986
Peligro,Reik,Tu Mirada,200000
EL ÚLTIMO TOUR DEL MUNDO,Bad Bunny,BOOKER T,156430
Masked Monkey Awakening,Hello Sleepwalkers,Goya No Machiawase,9995
EL ÚLTIMO TOUR DEL MUNDO,Bad Bunny,BOOKER T,185
Peligro,Reik,Tu Mirada,162
Reik,Reik,Yo Quisiera,557
Troubadour,K'NAAN,Bang Bang,510
Parachutes,Coldplay,Sparks,227093
Troubadour,K'NAAN,Bang Bang,186533
Reik,Reik,Yo Quisiera,1080
Peligro,Reik,Tu Mirada,232
EL ÚLTIMO TOUR DEL MUNDO,Bad Bunny,BOOKER T,232
Masked Monkey Awakening,Hello Sleepwalkers,Goya No Machiawase,394
The Prelude,Pink Sweat$,At My Worst,487
~how i'm feeling~,Lauv,Julia,534
basic girl,cansisco,basic girl,673
Game Over,cansisco,did u miss me?,371
LAST CHRISTMAS,Wham!,Last Christmas,696
Sob Rock,John Mayer,Carry Me Away,975
Dancing with my phone,HYBS,Dancing with my phone,580
Sob Rock,John Mayer,Carry Me Away,471232
Dancing with my phone,HYBS,Dancing with my phone,24175
Dancing with my phone,HYBS,Dancing with my phone,12376
Sob Rock,John Mayer,Carry Me Away,317075
Dancing with my phone,HYBS,Dancing with my phone,10917
Sob Rock,John Mayer,Carry Me Away,129311
"Superclean, Vol. II",The Marías,Over the Moon,182900
I Love You.,The Neighbourhood,Sweater Weather,21028
SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),Amaarae,SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),96060
La Trenza,Mon Laferte,Mi Buen Amor,2530
El Tiempo Locura Todo,Jósean Log,Pruébame a Ti,1880
Voluma,León Larregui,Locos,603
Pom Poms,Jonas Brothers,Pom Poms,2670
La Trenza,Mon Laferte,Mi Buen Amor,1044
Pom Poms,Jonas Brothers,Pom Poms,2229
La Trenza,Mon Laferte,Mi Buen Amor,227586
Pom Poms,Jonas Brothers,Pom Poms,1187
La Trenza,Mon Laferte,Mi Buen Amor,92
SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),Amaarae,SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),719
Nothing Was The Same,Drake,"Hold On, We're Going Home",1578
En Français,Pomplamoose,Les Champs-Elysées,557
Planet Her,Doja Cat,Woman,952
Cariño,The Marías,Cariño,1091
Nothing Happens,Wallows,Are You Bored Yet? (feat. Clairo),1114
Everyday Is Christmas,Sia,Snowman,743
Nothing Happens,Wallows,Are You Bored Yet? (feat. Clairo),178000
Fiel,Los Legendarios,Fiel,111616
YHLQMDLG,Bad Bunny,Bichiyal,2112
Hot Pink,Doja Cat,Streets,2901
Súbelo,Anuel AA,Súbelo,6293
CÓMO SE SIENTE,Jhayco,CÓMO SE SIENTE - Remix,7957
Súbelo,Anuel AA,Súbelo,223313
Cariño,The Marías,Cariño,174187
Primer Dia de Clases,Mora,Tuyo,43818
Primer Dia de Clases,Mora,Tuyo,269714
Primer Dia de Clases,Mora,Tuyo,269714
Primer Dia de Clases,Mora,Tuyo,15752
Súbelo,Anuel AA,Súbelo,1728
Hot Pink,Doja Cat,Streets,2197
YHLQMDLG,Bad Bunny,Bichiyal,196500
YHLQMDLG,Bad Bunny,Bichiyal,7244
Hot Pink,Doja Cat,Streets,194443
Volví,Aventura,Volví,230125
Yonaguni,Bad Bunny,Yonaguni,159038
DÁKITI,Bad Bunny,DÁKITI,42392
Mexican Invasion,T-Dre,Lost,0
Hyperion,Gesaffelstein,Lost in the Fire (feat. The Weeknd),5333
Parachutes,Coldplay,Sparks,192
Parachutes,Coldplay,Sparks,213013
Dancing With Your Ghost,Sasha Alex Sloan,Dancing With Your Ghost,152000
The Melodic Blue,Baby Keem,lost souls (with Brent Faiyaz),225749
Hyperion,Gesaffelstein,Lost in the Fire (feat. The Weeknd),176170
Parachutes,Coldplay,Yellow,243427
Parachutes,Coldplay,Sparks,289224
Parachutes,Coldplay,Sparks,227093
I'm Sure,Harmless,Swing Lynn,84266
I'm Sure,Harmless,Swing Lynn,4992
Parachutes,Coldplay,Sparks,1091
Peligro,Reik,Tu Mirada,3715
The Prelude,Pink Sweat$,At My Worst,170344
basic girl,cansisco,basic girl,13800
Sob Rock,John Mayer,Carry Me Away,159133
Sob Rock,John Mayer,Carry Me Away,159133
Sob Rock,John Mayer,Carry Me Away,159133
Sob Rock,John Mayer,Carry Me Away,159133
Sob Rock,John Mayer,Carry Me Away,159133
Sob Rock,John Mayer,Carry Me Away,159133
Sob Rock,John Mayer,Carry Me Away,159133
Sob Rock,John Mayer,Carry Me Away,793
Dancing with my phone,HYBS,Dancing with my phone,1369
"Superclean, Vol. II",The Marías,Over the Moon,1137
I Love You.,The Neighbourhood,Sweater Weather,4690
La Trenza,Mon Laferte,Mi Buen Amor,221100
RAS Portraits,Gondwana,Sentimento Original,998
LM5 (Deluxe),Little Mix,Told You So,37012
RAS Portraits,Gondwana,Sentimento Original,3204
Parachutes,Coldplay,Yellow,1671
Parachutes,Coldplay,Sparks,6833
Fine Line,Harry Styles,Golden,208906
The Getaway,Red Hot Chili Peppers,Dark Necessities,180851
Sorøre,Amel Bent,Ma sœur,12213
Índigo,Camilo,Índigo,1277
Viva La Vida or Death and All His Friends,Coldplay,Viva La Vida,1787
Cigarettes After Sex,Cigarettes After Sex,K.,2670
fever dream,mxmtoon,fever dream,176193
Parachutes,Coldplay,Sparks,227093
Troubadour,K'NAAN,Bang Bang,186533
Reik,Reik,Yo Quisiera,7140
Reik,Reik,Yo Quisiera,2809
Peligro,Reik,Tu Mirada,3924
The Getaway,Red Hot Chili Peppers,Dark Necessities,302000
Beauty Behind The Madness,The Weeknd,Angel,125
The Getaway,Red Hot Chili Peppers,Dark Necessities,1857
Beauty Behind The Madness,The Weeknd,Angel,377346
Palmar,Caloncho,Palmar,3680
Mientras Tú Dormías,Carla Morrison,Compartir,719
Déjenme Llorar,Carla Morrison,Disfruto,1369
JESUS IS KING,Kanye West,God Is,905
No Broken Hearts (feat. Nicki Minaj),Bebe Rexha,No Broken Hearts (feat. Nicki Minaj),952
Índigo,Camilo,Índigo,1346
Viva La Vida or Death and All His Friends,Coldplay,Viva La Vida,1021
Cigarettes After Sex,Cigarettes After Sex,K.,1068
Tally Of The Yes Men,Goldspot,Rewind,1741
Cigarettes After Sex,Cigarettes After Sex,K.,319560
Tally Of The Yes Men,Goldspot,Rewind,215266
Cuba Pintada,Los Rumberos,Fuiste Mía,184773
fever dream,mxmtoon,fever dream,2085
Pony,Rex Orange County,Pluto Projector,267520
Nothing Happens,Wallows,Are You Bored Yet? (feat. Clairo),22037
Pony,Rex Orange County,Pluto Projector,76501
Índigo,Camilo,Índigo,214933
Índigo,Camilo,Índigo,214933
Índigo,Camilo,Índigo,146497
Viva La Vida or Death and All His Friends,Coldplay,Viva La Vida,603
Cigarettes After Sex,Cigarettes After Sex,K.,743
Cuba Pintada,Los Rumberos,Fuiste Mía,557
Tally Of The Yes Men,Goldspot,Rewind,905
the masquerade,mxmtoon,unspoken words,487
fever dream,mxmtoon,fever dream,1137
fever dream,mxmtoon,fever dream,196480
the masquerade,mxmtoon,unspoken words,0
Pony,Rex Orange County,Pluto Projector,114729
Pony,Rex Orange County,Pluto Projector,10379
Everyday Is Christmas,Sia,Snowman,165906
Nothing Happens,Wallows,Are You Bored Yet? (feat. Clairo),178000
Cariño,The Marías,Cariño,258713
Planet Her,Doja Cat,Woman,172626
En Français,Pomplamoose,Les Champs-Elysées,35869
Fine Line,Harry Styles,Golden,208906
The Getaway,Red Hot Chili Peppers,Dark Necessities,12645
the masquerade,mxmtoon,unspoken words,246626
